Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
21,0.05,0.95,sample,,,,,,0.04061724077104504
44,0.5,0.5,Label_Propagation,future,1.0,0.8148877519206139,1.0,0.97,2.1947966933924343
21,0.05,0.5,Label_spreading,future,0.058134083450539144,0.3491975166738095,0.66,0.6,1.525839199519524
41,0.05,0.95,traditional,future,0.06054001695120475,0.3272953956531946,0.62,0.59,0.8267230880231403
41,0.5,0.5,Self_Learning,future,0.7662804634438674,0.7355385066708908,0.98,0.96,2.119047626419135
24,0.05,0.5,Veenman,future,0.5365853658536586,0.2678840071356718,0.46,0.48,1.0418015549023525
20,0.5,0.5,Label_spreading,future,0.9759450171821306,0.8395968731517883,1.0,1.0,2.0720624207423683
21,0.5,0.5,traditional,future,0.8058076225045372,0.7468431444521894,1.0,0.99,2.0185576588316567
13,0.5,0.95,traditional,future,0.6213379288735704,0.7126676755345758,0.98,0.9,1.3075474725768104
9,0.05,0.5,Self_Learning,future,0.4,0.2996276333464291,0.56,0.46,0.7565819189439622
9,0.05,0.0,Label_Propagation,future,0.0,0.3789157135168116,0.64,0.59,1.2335357653526375
1,0.5,0.0,traditional,future,0.7400159744408946,0.819764339508497,1.0,0.99,1.732944935290357
34,0.5,0.95,Self_Learning,future,0.660144785756212,0.7085809755056288,0.9,0.87,1.7893621453527002
4,0.5,0.5,sample,,,,,,1.5438628006279076
12,0.05,0.0,sample,,,,,,0.897160227117732
21,0.5,0.95,Label_Propagation,future,0.5,0.7590477768162003,0.96,0.96,2.3641758212274433
13,0.5,0.5,Label_Propagation,future,0.9629629629629629,0.8094478731046582,0.96,0.96,2.2438700935784164
30,0.05,0.0,Self_Learning,future,0.7,0.2457544062934759,0.46,0.35,1.1075210611002462
43,0.5,0.95,sample,,,,,,1.4387870969238674
35,0.5,0.5,Veenman,future,0.8421052631578947,0.6553615525360948,0.96,0.96,2.2000210948419214
16,0.5,0.5,Self_Learning,future,0.7419467787114846,0.718993408834254,0.96,0.95,1.604433522256012
16,0.05,0.95,traditional,future,0.07138744962579159,0.28606556621609314,0.64,0.51,1.0181641101969958
34,0.5,0.95,Semi-supervised,future,0.819327731092437,0.6506954238348805,0.9,0.88,1.9508632723287056
8,0.5,0.0,Label_Propagation,future,0.6878368877431451,0.6807818936493891,0.68,0.73,0.801194228821716
24,0.05,0.0,Label_spreading,future,0.0,0.19638569487416496,0.32,0.33,1.0828195160832499
44,0.5,0.95,traditional,future,0.5905009759271308,0.7524319266179473,0.92,0.92,1.746142155648392
0,0.5,0.95,sample,,,,,,1.459506083084958
13,0.05,0.95,Label_spreading,future,0.0499,0.3705879283926827,0.76,0.6,1.4299475907534978
1,0.05,0.95,Label_spreading,future,0.0501,0.4349661464779667,0.74,0.67,1.3175471361988396
44,0.05,0.5,Semi-supervised,future,0.5272727272727272,0.31438004583538937,0.62,0.54,0.905142434261339
38,0.5,0.95,sample,,,,,,1.4989083209725425
4,0.05,0.95,Veenman,future,0.6,0.3563909656634839,0.6,0.56,0.9353310320627665
0,0.5,0.95,Label_spreading,future,0.4999,0.714529854899874,0.94,0.91,2.382737560251936
1,0.5,0.95,traditional,future,0.6617582417582417,0.703340138812943,0.9,0.9,1.6734441233097406
4,0.05,0.0,traditional,future,0.6666666666666666,0.2221884047224571,0.54,0.4,1.3546538708703817
36,0.05,0.0,Label_Propagation,future,0.0,0.40283201800392415,0.74,0.69,1.2777899987104688
34,0.05,0.5,traditional,future,0.12974789915966387,0.2404943310224202,0.48,0.41,0.8649988071544348
33,0.05,0.95,Semi-supervised,future,0.5072463768115942,0.3902880585893706,0.64,0.63,0.948090210833803
44,0.05,0.5,Self_Learning,future,0.10756676557863501,0.2568547936252328,0.5,0.47,1.1552221710081214
6,0.05,0.5,Veenman,future,0.43820224719101125,0.2516040621474946,0.52,0.46,1.157642950300796
33,0.05,0.5,sample,,,,,,0.4213782522324452
12,0.5,0.0,Label_Propagation,future,0.5398479913137894,0.8295945056975157,1.0,0.98,2.1097814313234915
13,0.05,0.5,Semi-supervised,future,0.5535714285714286,0.2945785702890986,0.56,0.53,1.1207745342434972
31,0.05,0.0,Veenman,future,0.0,0.11421923535490211,0.22,0.16,1.1651460411967847
44,0.05,0.95,Label_spreading,future,0.0497,0.31350546273585833,0.56,0.5,1.61329416749628
4,0.05,0.5,Semi-supervised,future,0.6666666666666666,0.2958078444526999,0.5,0.5,0.7535868564816913
0,0.5,0.0,Veenman,future,0.7565353101833788,0.7160061007628886,0.94,0.89,1.8086511189017556
23,0.5,0.0,Semi-supervised,future,0.825497287522604,0.771704608573468,0.98,0.97,1.6015158188912795
18,0.5,0.95,Self_Learning,future,0.6113455227379277,0.707308915533661,0.9,0.89,1.693879757175388
20,0.5,0.5,sample,,,,,,1.561231246047296
13,0.05,0.5,Self_Learning,future,0.13391098857818037,0.2051566176464416,0.44,0.38,1.2352401060937717
20,0.5,0.0,sample,,,,,,0.211369518558074
18,0.5,0.95,Semi-supervised,future,0.8120204603580563,0.674524964745579,0.88,0.87,1.9394483822448816
3,0.5,0.0,Semi-supervised,future,0.9596774193548387,0.7427262715246714,1.0,0.95,1.3576260306238803
33,0.5,0.0,traditional,future,0.6393649648204943,0.7337278933679037,1.0,1.0,1.9443061292935648
19,0.5,0.5,Veenman,future,0.8081395348837209,0.662525145625248,0.9,0.87,2.2659396599610435
42,0.5,0.95,Veenman,future,0.8021534320323015,0.6491171426626974,0.92,0.88,1.942383138301353
29,0.5,0.5,Label_Propagation,future,1.0,0.8334621300105751,0.98,0.98,2.183423111188945
14,0.5,0.0,Self_Learning,future,0.7384119306731157,0.8142681667087746,1.0,1.0,1.6706913411241229
27,0.05,0.0,Veenman,future,0.0,0.14686862101774795,0.22,0.27,1.0322732326687953
3,0.5,0.95,Veenman,future,0.8073979591836735,0.6635278421470019,0.98,0.96,1.7287407235047636
36,0.5,0.5,sample,,,,,,1.7343562752113786
35,0.5,0.0,Semi-supervised,future,0.8128898128898129,0.7548792719363102,0.98,0.98,1.5071546701761487
9,0.05,0.95,Self_Learning,future,0.07776369971491923,0.3083399592984512,0.5,0.47,0.9199864903233032
40,0.5,0.0,Veenman,future,0.0,0.7036717657550839,0.88,0.91,1.1683789682500851
5,0.05,0.5,Label_spreading,future,0.11238670694864049,0.19287308580575693,0.48,0.36,1.4337432785914164
8,0.5,0.5,Label_spreading,future,0.9738219895287958,0.8381144380826253,1.0,1.0,2.088765984930617
0,0.5,0.0,sample,,,,,,0.2312404637328964
10,0.05,0.5,Label_Propagation,future,0.05009575647616168,0.41046645114195557,0.88,0.7,1.0823637517514124
9,0.05,0.95,Semi-supervised,future,0.631578947368421,0.39423475500007316,0.64,0.59,0.8472082344702494
43,0.05,0.0,traditional,future,0.7,0.24344315558243465,0.5,0.43,0.861502121985577
4,0.05,0.5,traditional,future,0.10945558739255014,0.17120743852044276,0.36,0.34,1.3169567002529925
25,0.5,0.0,traditional,future,0.6988001654944146,0.757478806580749,0.92,0.96,1.715401388415826
36,0.5,0.0,sample,,,,,,0.2567880490291116
12,0.5,0.0,Label_spreading,future,0.69344,0.8466966439698591,1.0,1.0,2.1349748927396774
10,0.5,0.95,Label_spreading,future,0.4999,0.76257272421961,0.9,0.94,2.3759122444295038
43,0.5,0.0,Self_Learning,future,0.7207857286029264,0.8049854024569935,0.98,0.99,1.8551894026487032
15,0.5,0.95,Veenman,future,0.8275862068965517,0.6688022787490613,0.96,0.92,1.9185407085668027
25,0.05,0.95,Semi-supervised,future,0.4936708860759494,0.2918237483044412,0.56,0.48,1.1118916460323025
1,0.05,0.0,sample,,,,,,0.7643535120913647
22,0.05,0.5,traditional,future,0.12028301886792453,0.2734728772743209,0.62,0.5,1.167862054305239
20,0.05,0.0,Label_Propagation,future,0.0,0.34872611085149,0.72,0.65,1.4829360449338773
19,0.05,0.0,Semi-supervised,future,0.6666666666666666,0.30969759874010544,0.68,0.67,1.2004227097558964
29,0.5,0.95,traditional,future,0.6774774774774774,0.744519364480176,0.96,0.94,1.8483122844180893
17,0.5,0.0,Veenman,future,0.0,0.7345972733782221,0.9,0.91,0.9929745146893393
25,0.05,0.5,sample,,,,,,0.45826927614177937
14,0.05,0.0,traditional,future,0.3736842105263158,0.20018623312930395,0.48,0.44,1.1129975762038808
1,0.5,0.95,Semi-supervised,future,0.7987179487179488,0.6360357738911306,0.8,0.78,2.0461810832191167
2,0.05,0.0,Semi-supervised,future,0.3034825870646766,0.20164430745365114,0.4,0.39,0.8868574672705101
2,0.5,0.5,traditional,future,0.754995004995005,0.7862273834777737,1.0,0.98,1.8006207374445642
10,0.05,0.95,sample,,,,,,0.05699674419907275
19,0.5,0.0,Label_spreading,future,0.7606278613472858,0.8060823546458926,0.96,0.95,1.5267451690839107
25,0.5,0.95,sample,,,,,,1.413492181169512
20,0.05,0.95,Label_Propagation,future,0.05,0.4542676095936378,0.72,0.67,1.0870518482188056
29,0.05,0.5,traditional,future,0.1435152374202693,0.24792625026848034,0.42,0.41,0.9206610525318007
12,0.05,0.0,Semi-supervised,future,0.5555555555555556,0.19093266930902464,0.36,0.29,1.3945066158755375
4,0.5,0.5,Semi-supervised,future,0.8660049627791563,0.613990740172259,0.96,0.92,2.1013899667491343
42,0.05,0.0,Label_spreading,future,0.0,0.29449927261480696,0.54,0.51,1.5742656706089466
10,0.5,0.5,traditional,future,0.8131539611360239,0.7831852811361878,0.96,0.97,1.8006490628768312
22,0.5,0.95,traditional,future,0.6248115767259572,0.7304709668113767,0.98,0.97,1.752869648801103
10,0.05,0.5,Label_spreading,future,0.11709031909140076,0.32807774201889106,0.72,0.58,1.0440423328995272
15,0.05,0.5,Veenman,future,0.7368421052631579,0.33611518630129117,0.74,0.56,1.0683333399075086
9,0.05,0.0,Semi-supervised,future,0.42857142857142855,0.1885520393845086,0.38,0.36,1.1734274321089757
9,0.5,0.5,traditional,future,0.7805625174046227,0.7936727642640574,1.0,0.98,1.7451134400918582
22,0.5,0.5,Label_Propagation,future,1.0,0.8254749232535848,0.98,0.97,2.093017914059517
10,0.5,0.95,Label_Propagation,future,0.4999,0.7517346330023116,0.88,0.9,2.361410828733489
8,0.5,0.95,Veenman,future,0.7893432465923172,0.657191598391367,0.94,0.92,2.034430622890719
23,0.05,0.0,sample,,,,,,0.9219848091115517
2,0.05,0.95,Self_Learning,future,0.07587488386497368,0.31466881104264804,0.68,0.53,1.005113444077087
3,0.5,0.5,Label_spreading,future,0.906028965981812,0.8859507662147406,1.0,1.0,2.026672736583022
15,0.05,0.0,Label_spreading,future,0.0,0.28475740653240433,0.58,0.52,1.8156206054987447
27,0.5,0.5,Self_Learning,future,0.7680097680097681,0.732332254762682,0.92,0.94,1.9039925357476266
2,0.05,0.95,Semi-supervised,future,0.536,0.35566481612596934,0.64,0.56,0.9959447381896901
27,0.05,0.95,traditional,future,0.07053763440860215,0.33319808500112874,0.66,0.58,0.9587974096240182
42,0.05,0.5,Veenman,future,0.6222222222222222,0.2845650611356489,0.6,0.53,1.065743167110267
19,0.5,0.0,Label_Propagation,future,0.927719298245614,0.8312323471853571,0.98,0.98,1.923852854006025
18,0.05,0.5,Semi-supervised,future,0.6666666666666666,0.3184679651765359,0.58,0.53,0.947317043381266
1,0.05,0.95,Label_Propagation,future,0.0501,0.47079115172406,0.8,0.72,1.1527199241916068
1,0.5,0.5,Self_Learning,future,0.8185588387765682,0.7577667946847848,0.98,0.98,2.075937222246752
17,0.05,0.0,Self_Learning,future,0.12312892322549493,0.14930009420582258,0.36,0.33,1.491818144165372
34,0.5,0.5,Label_Propagation,future,0.0,0.8360290387724407,1.0,0.99,2.098495563408822
35,0.05,0.0,sample,,,,,,0.7509239323310728
13,0.5,0.95,Self_Learning,future,0.726930963773069,0.7104594673348967,0.92,0.92,1.8160914802529051
18,0.05,0.5,Self_Learning,future,0.5,0.30968444095392456,0.54,0.5,0.9623402678739077
13,0.5,0.95,Semi-supervised,future,0.7751937984496124,0.6458611769475636,0.84,0.81,1.9391893651610432
8,0.5,0.0,Semi-supervised,future,0.78125,0.7133793282693961,0.92,0.91,1.4862102516169249
38,0.5,0.0,traditional,future,0.7434684221353631,0.812244445454453,1.0,0.98,1.6037723148945953
12,0.5,0.5,Veenman,future,0.8652694610778443,0.6346879072982965,0.9,0.89,2.2912268480045834
31,0.05,0.95,traditional,future,0.07323529411764707,0.3227202945110465,0.66,0.59,0.8666054851695462
21,0.05,0.95,Veenman,future,0.49222797927461137,0.3608539659133775,0.6,0.54,0.8126359418568186
31,0.5,0.5,Self_Learning,future,0.8085414404632646,0.7786939793162837,1.0,1.0,1.7929891830402376
40,0.05,0.0,Self_Learning,future,0.0,0.18389988662649714,0.42,0.4,1.0707795182648165
18,0.05,0.95,Label_spreading,future,0.0489,0.4071033966241502,0.68,0.68,1.250299150528119
33,0.5,0.95,sample,,,,,,1.3977546173025799
10,0.5,0.5,Semi-supervised,future,0.8484848484848485,0.6194262381274617,0.9,0.9,2.203200990819444
44,0.5,0.95,Self_Learning,future,0.6506170693551191,0.7111100243306994,0.88,0.89,1.794702517643199
36,0.05,0.95,Label_Propagation,future,0.0504,0.45621744463964115,0.8,0.7,1.1479975033485623
38,0.05,0.95,Semi-supervised,future,0.6857142857142857,0.437962795371483,0.68,0.73,0.9491552148204573
34,0.5,0.95,traditional,future,0.6339214751231919,0.724153360248426,0.9,0.91,1.7103918309445585
38,0.05,0.5,sample,,,,,,0.4858786871373439
44,0.5,0.95,Semi-supervised,future,0.7521929824561403,0.6521873432935947,0.86,0.8,1.8736909673082112
19,0.05,0.0,sample,,,,,,0.8235871172774956
44,0.05,0.5,traditional,future,0.11324965132496513,0.2486864059938753,0.52,0.49,1.069348198261839
43,0.05,0.95,Semi-supervised,future,0.5961538461538461,0.36389646074209103,0.8,0.61,0.9668619149518591
0,0.5,0.0,Label_spreading,future,0.5719961473633518,0.777959660710192,1.0,0.97,2.2500147232750276
18,0.5,0.5,Label_Propagation,future,0.0,0.852599958207548,0.98,0.99,2.11892794875839
25,0.5,0.0,Self_Learning,future,0.7040729741196436,0.7547721702987371,0.98,0.97,1.8123472770976652
0,0.5,0.5,Veenman,future,0.8308157099697885,0.6363352603394585,0.86,0.84,2.2097109310000556
16,0.05,0.0,Veenman,future,0.3333333333333333,0.21053996302418415,0.36,0.35,1.4064424855117108
36,0.05,0.95,Self_Learning,future,0.06558230318802863,0.30405269047426614,0.58,0.51,0.8290377579367548
34,0.05,0.5,Semi-supervised,future,0.5294117647058824,0.29116612557567556,0.52,0.5,0.8485700829160974
35,0.5,0.0,Label_Propagation,future,0.6927788523533205,0.8403628645340886,1.0,1.0,2.081759472878498
21,0.05,0.5,Label_Propagation,future,0.04992967651195499,0.36965774863600714,0.72,0.64,1.2341868700653549
43,0.05,0.5,sample,,,,,,0.5138878173402188
14,0.5,0.0,traditional,future,0.7058234940964578,0.7876800116499018,1.0,0.98,1.621682092687976
3,0.5,0.0,Label_Propagation,future,0.5163925948908884,0.8635233773009132,1.0,1.0,1.8523841843357813
34,0.05,0.5,Self_Learning,future,0.23010244286840031,0.28416823898917704,0.46,0.42,0.9080622570264938
14,0.05,0.95,Semi-supervised,future,0.5371900826446281,0.3658690919146971,0.68,0.59,0.8570507156769824
7,0.05,0.5,Label_Propagation,future,0.13393133312712652,0.3594074085863633,0.78,0.65,1.3353373906369954
7,0.5,0.5,Label_Propagation,future,1.0,0.8025259033099658,1.0,0.97,2.198125574081321
13,0.05,0.5,traditional,future,0.11117462132037725,0.2147118089071629,0.48,0.43,1.3921808392002162
21,0.5,0.95,Label_spreading,future,0.5,0.7601414147465642,0.96,0.95,2.358768338172574
41,0.05,0.0,Veenman,future,0.22271386430678466,0.18655662150208707,0.34,0.33,1.5232913064724238
23,0.5,0.0,Label_spreading,future,0.7410950539385305,0.8102088831762109,0.98,0.99,1.7031723494582651
24,0.5,0.95,Veenman,future,0.826151560178306,0.6175906408636074,0.88,0.9,1.8855102722609078
34,0.05,0.95,Label_spreading,future,0.0502,0.4501639183111334,0.84,0.71,1.225400094260601
43,0.5,0.0,traditional,future,0.7242,0.8055879280572302,1.0,0.98,1.7651733166865282
14,0.05,0.5,sample,,,,,,0.4544071974952587
25,0.05,0.0,traditional,future,0.2857142857142857,0.14508238318966177,0.36,0.28,1.5843470563157072
26,0.5,0.0,Veenman,future,0.8514285714285714,0.736797291498467,0.86,0.91,1.281749835278374
2,0.05,0.0,Label_Propagation,future,0.0,0.2831432310683064,0.5,0.45,1.211432994208295
18,0.5,0.95,traditional,future,0.662953995157385,0.7003130869372474,0.92,0.93,1.6954794371985782
2,0.05,0.5,Self_Learning,future,0.12574850299401197,0.2541726692251004,0.44,0.39,1.0534309505390875
22,0.05,0.95,Label_spreading,future,0.0499,0.4141127207857454,0.78,0.69,1.295355399016423
32,0.5,0.95,Veenman,future,0.8801652892561983,0.661155992750144,0.94,0.96,1.9418418953811256
35,0.5,0.0,Label_spreading,future,0.7086350974930362,0.7967182004348288,0.94,0.96,1.6192373408144982
33,0.05,0.0,traditional,future,0.45263157894736844,0.2194148158669984,0.58,0.44,1.4571045455033989
39,0.05,0.5,Veenman,future,0.7692307692307693,0.36639936174165033,0.72,0.66,1.0458816834379205
4,0.05,0.0,Self_Learning,future,0.42857142857142855,0.21003404193835032,0.5,0.41,1.2949636222244414
9,0.05,0.95,traditional,future,0.0806769635228393,0.32858805165422106,0.58,0.51,0.9058393666948974
30,0.5,0.0,Veenman,future,1.0,0.7555093566981221,0.94,0.92,1.2669509504693925
12,0.5,0.0,Semi-supervised,future,0.9012987012987013,0.7546358092696306,0.88,0.92,1.2107319875977423
29,0.5,0.95,Self_Learning,future,0.6826424870466321,0.7275811832808969,0.96,0.97,1.5276156717397569
23,0.5,0.0,Label_Propagation,future,0.8044616435237878,0.8592415531094746,1.0,1.0,2.0964155873545303
7,0.05,0.0,Veenman,future,0.5909090909090909,0.15499263310855976,0.5,0.38,1.2674342630940711
7,0.5,0.95,Self_Learning,future,0.6622769753610875,0.6903368777367466,0.88,0.88,1.7305361288389771
22,0.05,0.5,Semi-supervised,future,0.4056603773584906,0.32409495014521683,0.68,0.57,0.8168158976708174
20,0.05,0.95,Self_Learning,future,0.08258740077689579,0.3074843177862291,0.58,0.51,1.0296456622839445
1,0.5,0.0,Self_Learning,future,0.6693375024428376,0.7462853451000044,0.96,0.97,1.4708922966836908
33,0.5,0.0,Self_Learning,future,0.6887349765736402,0.7509599936013148,0.98,0.97,1.9357437009813092
29,0.5,0.95,Semi-supervised,future,0.8312958435207825,0.631979629035143,0.9,0.86,1.8848240790516873
2,0.5,0.95,Label_Propagation,future,0.5,0.7730608242295931,0.98,0.99,2.2649991335843533
39,0.05,0.0,Label_spreading,future,0.0,0.34290386974799714,0.58,0.61,1.4024940496543719
2,0.05,0.0,Label_spreading,future,0.0,0.314666478004041,0.52,0.51,1.547086578280579
22,0.05,0.5,Self_Learning,future,0.6055045871559633,0.3536544091440876,0.72,0.63,0.9274165719327198
10,0.5,0.0,Veenman,future,1.0,0.6903248898530219,0.82,0.8,0.9360673669377124
13,0.05,0.0,traditional,future,0.35714285714285715,0.19363986715221054,0.42,0.4,1.2608998362480077
5,0.05,0.0,Semi-supervised,future,0.27837837837837837,0.17134778236166986,0.36,0.36,1.3429456659571632
40,0.05,0.5,Label_Propagation,future,0.8333333333333334,0.3411619404541046,0.54,0.52,1.2623980170624371
19,0.05,0.5,Veenman,future,0.7636363636363637,0.38515836904462963,0.8,0.66,0.9426906683549674
6,0.5,0.95,Semi-supervised,future,0.7780938833570412,0.647636502908141,0.88,0.85,1.999867382014329
5,0.5,0.5,traditional,future,0.7298409215578716,0.7355036936933245,0.94,0.93,1.8765179748606002
22,0.05,0.5,sample,,,,,,0.4378572042642679
44,0.5,0.0,Self_Learning,future,0.719652036378015,0.7867964535496651,0.96,0.96,1.8497155225106634
12,0.5,0.95,Veenman,future,0.8424962852897474,0.660768846837677,0.88,0.89,1.9590742971018644
29,0.5,0.95,sample,,,,,,1.4387383703049936
15,0.5,0.0,Label_spreading,future,0.7142077496816446,0.8144813727483002,0.98,0.98,1.7045870895005932
17,0.5,0.95,Label_spreading,future,0.5,0.7214927571628835,0.98,0.96,2.361119128850957
8,0.5,0.5,Semi-supervised,future,0.8004434589800443,0.6568798245803641,0.9,0.86,2.17549537693204
25,0.05,0.5,traditional,future,0.10831721470019343,0.1782902606017073,0.36,0.29,1.1873584016832581
6,0.05,0.0,sample,,,,,,0.7200320528043396
22,0.05,0.95,Semi-supervised,future,0.6470588235294118,0.3857410648522827,0.74,0.65,0.9407960700251864
27,0.05,0.0,Label_Propagation,future,0.0,0.2644121826826208,0.46,0.47,1.633580834022662
2,0.05,0.5,Label_spreading,future,0.05916597362480694,0.28661778868244625,0.58,0.5,1.6505391260894502
19,0.05,0.0,Label_spreading,future,0.0,0.4017092223668323,0.78,0.65,1.465976417893504
7,0.5,0.0,sample,,,,,,0.2453117135454484
22,0.5,0.0,traditional,future,0.7226720647773279,0.80003852739486,1.0,0.97,1.8104691724286792
31,0.5,0.0,sample,,,,,,0.21270378506045873
17,0.05,0.5,Label_Propagation,future,0.5871559633027523,0.42689282351487945,0.84,0.72,1.1849953125147803
44,0.05,0.0,traditional,future,0.3918918918918919,0.1809244451851008,0.4,0.37,1.2169771310205266
3,0.05,0.5,traditional,future,0.11946270362960847,0.2585013894745442,0.44,0.49,0.9929244916902019
40,0.5,0.95,Label_spreading,future,0.4999,0.7457976685510452,0.98,0.93,2.3035397041588626
20,0.05,0.0,Veenman,future,0.625,0.1914576497732138,0.44,0.32,1.1536655812547887
42,0.5,0.0,Label_spreading,future,0.7812582258489076,0.809221334068079,1.0,0.99,2.15250266025284
4,0.5,0.95,Veenman,future,0.8738461538461538,0.6838860341775909,0.9,0.92,1.9085750307136713
13,0.5,0.0,Self_Learning,future,0.6857503152585119,0.6951372536501351,0.88,0.86,1.0992564734768908
32,0.5,0.0,Semi-supervised,future,0.7480392156862745,0.7414571469056269,0.98,0.97,1.5060033496538157
31,0.5,0.5,sample,,,,,,1.5531558738750935
14,0.05,0.5,Self_Learning,future,0.1242028545399332,0.2515716037428717,0.5,0.45,1.0062074233999625
27,0.5,0.0,sample,,,,,,0.2767474855876166
34,0.5,0.0,traditional,future,0.7064063684609553,0.7959322082108824,1.0,1.0,1.684472150961372
4,0.5,0.0,Semi-supervised,future,0.7458636664460622,0.7291844105719716,0.98,0.96,1.5240377861828502
38,0.5,0.5,Label_Propagation,future,0.0,0.8381787618345145,0.98,0.97,2.0915934670485297
43,0.05,0.95,Label_spreading,future,0.0501,0.42406001751763855,0.84,0.67,1.3355061143702742
36,0.05,0.0,Veenman,future,1.0,0.23751392362002902,0.5,0.43,1.19717827909413
16,0.05,0.95,Self_Learning,future,0.07728264256777813,0.2685736020025926,0.5,0.48,1.117959366673782
14,0.05,0.5,Semi-supervised,future,0.5714285714285714,0.2979792431392757,0.54,0.48,0.8326898316928445
15,0.5,0.0,Label_Propagation,future,0.6110939907550077,0.6784375952091114,0.78,0.78,0.7661747439552912
3,0.05,0.5,Semi-supervised,future,0.7428571428571429,0.36348828169585434,0.72,0.64,0.8792740558465706
27,0.5,0.5,sample,,,,,,1.6009988189584843
7,0.5,0.0,Veenman,future,0.9245283018867925,0.7361817783753132,0.94,0.94,1.3131117403784762
24,0.5,0.0,Semi-supervised,future,0.8321167883211679,0.716732615203719,0.96,0.92,1.0747362193514147
39,0.05,0.0,sample,,,,,,1.008986405640422
1,0.05,0.5,Veenman,future,0.5555555555555556,0.3268374707420429,0.58,0.56,0.85940404981659
38,0.5,0.95,traditional,future,0.6965458178703968,0.6977512771764446,0.96,0.94,1.7026392412507187
43,0.05,0.5,Self_Learning,future,0.17716303708063566,0.22406948654003175,0.46,0.37,1.057928437531302
34,0.05,0.5,sample,,,,,,0.44283547184591737
41,0.05,0.95,Self_Learning,future,0.0652400835073069,0.33369773567297584,0.52,0.51,0.7648635880259864
43,0.05,0.5,Semi-supervised,future,0.5955056179775281,0.3029716863473818,0.6,0.55,0.9404753020081824
42,0.5,0.0,Label_Propagation,future,0.9710144927536232,0.8123231445403549,1.0,0.99,2.119565290776782
7,0.5,0.95,Label_spreading,future,0.5,0.7149487463788107,1.0,0.94,2.3777103976097367
3,0.05,0.95,Veenman,future,0.8611111111111112,0.45717109481565077,0.8,0.75,0.831925958898024
14,0.05,0.95,Label_spreading,future,0.05,0.4447993675130356,0.84,0.69,1.2334687864766487
6,0.05,0.95,Label_spreading,future,0.05,0.32703651318896426,0.62,0.6,1.470134514628895
3,0.05,0.0,traditional,future,0.65,0.25401942601576166,0.5,0.41,1.2628270089079827
31,0.05,0.0,Label_Propagation,future,0.0,0.21835860058679488,0.4,0.41,1.2144610438132284
34,0.05,0.95,Semi-supervised,future,0.9333333333333333,0.4246967583261273,0.74,0.66,0.8244311259129583
33,0.05,0.5,traditional,future,0.1276595744680851,0.28504130603693456,0.58,0.48,0.9307711141178426
6,0.5,0.95,traditional,future,0.5798841059602649,0.6825974538714427,0.78,0.79,1.6604945536829683
33,0.5,0.95,Semi-supervised,future,0.775609756097561,0.6379797318965653,0.84,0.88,1.9084377450327126
18,0.5,0.0,traditional,future,0.7378205128205129,0.79653121993619,1.0,0.99,1.6710806444467377
32,0.5,0.5,Veenman,future,0.8823529411764706,0.6258821273840678,0.9,0.94,2.1061240701792183
23,0.05,0.0,Label_spreading,future,0.0,0.331547144800063,0.62,0.48,1.5867392606552995
7,0.5,0.95,sample,,,,,,1.4507969238682001
43,0.5,0.95,traditional,future,0.6513270547945206,0.7052766006130659,0.92,0.92,1.6590486061069856
38,0.05,0.5,Self_Learning,future,0.6050420168067226,0.39163279258154704,0.72,0.66,0.8106359883827531
3,0.5,0.5,sample,,,,,,1.5433057606608047
15,0.05,0.0,sample,,,,,,1.011762709087821
41,0.05,0.95,Label_Propagation,future,0.05,0.4554886491784073,0.76,0.72,1.2273714727263185
33,0.5,0.95,Self_Learning,future,0.6238321586625143,0.6915679651470071,0.84,0.86,1.6795250939779591
39,0.5,0.0,Label_Propagation,future,0.8488954344624448,0.8455480620401996,1.0,1.0,2.1462447564663067
38,0.05,0.5,Semi-supervised,future,0.2948328267477204,0.3106511614403715,0.7,0.55,0.8433555355942275
44,0.5,0.95,sample,,,,,,1.4357949601148745
26,0.5,0.95,Label_Propagation,future,0.5,0.7723962662057396,1.0,0.99,2.2542591859349943
29,0.5,0.0,Self_Learning,future,0.7418083782662795,0.8118788477998355,1.0,0.99,1.8217211200310544
14,0.5,0.5,Label_Propagation,future,0.0,0.8343979077978866,1.0,1.0,2.181655304971529
29,0.05,0.0,traditional,future,0.6410256410256411,0.2548635361020062,0.58,0.45,1.3080903606123153
27,0.5,0.5,Label_spreading,future,1.0,0.8612024747431706,1.0,1.0,2.002937017376225
23,0.05,0.5,Veenman,future,1.0,0.3622251909300419,0.64,0.57,0.9310189189741571
18,0.05,0.5,sample,,,,,,0.4393900270889754
26,0.05,0.5,Label_spreading,future,0.12403816558941212,0.2938956106210132,0.62,0.54,1.567085793017383
6,0.5,0.0,traditional,future,0.6869941652550349,0.7716104266991031,1.0,0.98,1.688332064245862
14,0.5,0.95,traditional,future,0.630937880633374,0.6804469772255282,0.96,0.86,1.7628947915428859
26,0.5,0.5,traditional,future,0.867595818815331,0.7540038874228983,1.0,0.98,2.068463967133813
24,0.05,0.0,Semi-supervised,future,1.0,0.19507028540203783,0.34,0.37,1.1315682222697565
42,0.05,0.0,sample,,,,,,0.7994368087493887
16,0.05,0.95,Label_Propagation,future,0.0501,0.37106449609106706,0.68,0.62,1.3227080893572476
18,0.05,0.95,Semi-supervised,future,0.6551724137931034,0.3846351284710832,0.68,0.61,0.9709981086896731
