Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
14,0.5,0.5,Veenman,future,0.8403990024937655,0.6415489231916223,0.88,0.88,2.26710645597419
27,0.05,0.95,Veenman,future,0.7647058823529411,0.39158179377879276,0.7,0.67,0.9350619281644567
15,0.5,0.95,Semi-supervised,future,0.7874015748031497,0.6711070723869754,0.84,0.85,2.184160503978349
35,0.5,0.95,sample,,,,,,1.4681382025908973
16,0.5,0.5,Semi-supervised,future,0.784841075794621,0.6247066109625142,0.78,0.83,2.1153265389824596
9,0.05,0.95,Veenman,future,0.5398230088495575,0.3831200375066073,0.58,0.57,0.8180555632100184
39,0.05,0.5,traditional,future,0.09779338014042126,0.18020067526420774,0.42,0.33,1.7192407735888198
30,0.05,0.95,Label_Propagation,future,0.05,0.44377893515837075,0.68,0.67,1.1726278565430621
9,0.05,0.0,traditional,future,0.5185185185185185,0.2743144444658195,0.54,0.48,0.8461252514796992
42,0.5,0.95,Self_Learning,future,0.6798124655267512,0.6810723828644841,0.86,0.86,1.834248754040625
32,0.5,0.95,traditional,future,0.7353504404442742,0.7098053355942306,0.94,0.93,1.8736364920201516
42,0.5,0.95,Semi-supervised,future,0.7754137115839244,0.6406481843585852,0.82,0.81,1.9933435088728169
43,0.5,0.5,Veenman,future,0.8307692307692308,0.6453100147105163,0.96,0.93,2.127849441857711
6,0.5,0.0,Label_spreading,future,0.8589466089466089,0.8241125074798739,0.98,0.99,2.1134859586369883
42,0.05,0.5,traditional,future,0.10002977076510866,0.18831323255984933,0.46,0.41,1.5507489061144653
40,0.05,0.0,Label_Propagation,future,0.0,0.29562078076903237,0.56,0.53,1.4898010530653105
9,0.5,0.5,sample,,,,,,1.5468927223769884
39,0.5,0.95,Self_Learning,future,0.6626506024096386,0.6832744646617048,0.78,0.75,1.7039505046961718
6,0.5,0.5,Veenman,future,0.7914110429447853,0.6229375571918438,0.74,0.77,2.223273743619565
30,0.05,0.95,Self_Learning,future,0.08386662175816774,0.37463533047482633,0.58,0.61,0.93467795286178
32,0.05,0.5,Semi-supervised,future,0.5211267605633803,0.31911601253112004,0.52,0.5,0.8582188099551448
33,0.5,0.0,Label_Propagation,future,0.8450837812203604,0.8343941736178171,1.0,1.0,2.153435668598196
10,0.05,0.0,Veenman,future,0.271356783919598,0.13265453706455538,0.32,0.3,1.3287361409412533
23,0.5,0.0,Self_Learning,future,0.6980839945809948,0.7862581122218021,1.0,0.99,1.594422141535062
